nct_id,title,status,phase,conditions,keywords,interventions
NCT05020275,Resistance to the Tyrosine Kinase Inhibitor Osimertinib and Pharmacokinetics in Non-small Cell Lung Cancer,ACTIVE_NOT_RECRUITING,NA,Lung Cancer,Non-small Cell Lung cancer | Osimertinib | Resistance | Pharmacokinetics,Blood Samples
NCT05176665,EMB-01 in Patients With Advanced/Metastatic Gastrointestinal Cancers,RECRUITING,"PHASE1, PHASE2",Neoplasms | Neoplasm Metastasis | Metastatic Gastrointestinal Carcinoid Tumor,Human Bispecific antibody | Epidermal Growth Factor Receptor (EGFR) | c-Mesenchymal-Epithelial Transition (cMet) | Neoplasms， Neoplasm Metastasis | Neoplasm Metastasis | EMB-01，Tyrosine Kinase Inhibitor (TKI) Resistant,EMB-01
NCT06314997,Dynamic Changes in Circulating Tumour Cells Protein Expression,RECRUITING,PHASE2,Recurrence Free Survival,,panitumumab (EGFR inhibitors)
NCT07155187,A Study to Assess Adverse Events and Change in Disease Activity of Intravenous (IV) Telisotuzumab Adizutecan Compared to Standard of Care in Adult Participants With Locally Advanced or Metastatic EGFR-Mutated Non-Squamous Non-Small Cell Lung Cancer,RECRUITING,"PHASE2, PHASE3",Non-Small Cell Lung Cancer,"Non-Small Cell Lung Cancer | Telisotuzumab Adizutecan | ABBV-400, Standard of Care | Cancer | AndroMETa-Lung-713",Telisotuzumab Adizutecan | Standard of Care
NCT07257653,The Safety and Efficacy of Cetuximab Beta Plus Fruquintinib With or Without Immune Checkpoint Inhibitorrs in First-line Treatment of RAS/BRAF Wild Type Unresectable Metastatic Colorectal Cancer,RECRUITING,PHASE2,Colorectal Neoplasms | RAS | BRAF | Cetuximabβ | Fruquintinib,Colorectal cancer | Chemotherapy-free | KRAS/NRAS/BRAF wild-type | cetuximab combined with fruquintinib | with or without immune checkpoint inhibitors,Cetuximab β；Fruquintinib； | Cetuximab β；Fruquintinib；anti-PD1 antibody； | Cetuximab β；Fruquintinib；anti-PD1/CTLA4 antibody
NCT06186401,Anti-EGFRvIII synNotch Receptor Induced Anti-EphA2/IL-13Ralpha2 CAR (E-SYNC) T Cells,RECRUITING,PHASE1,EGFR Gene Mutation | Glioblastoma | MGMT-Unmethylated Glioblastoma | Recurrent Glioblastoma,Immunotherapy | CAR T Therapy,E-SYNC T Cells | Cyclophosphamide (non-investigational) | Fludarabine (non-investigational) | Leukapheresis | Surgical resection
NCT03526835,A Study of Bispecific Antibody MCLA-158 in Patients With Advanced Solid Tumors,RECRUITING,"PHASE1, PHASE2",Advanced/Metastatic Solid Tumors | Colorectal Cancer | Gastric Cancer | Gastroesophageal-junction Cancer | NSCLC | HNSCC | Head and Neck Squamous Cell Carcinoma | Esophageal Cancer,Bispecific antibody | First-in-human | MCLA-158 | Antibodies | Bispecific | immunologic factors | Cytokines | EGFR | LGR5,MCLA-158 | MCLA-158 + Pembrolizumab | MCLA-158 + FOLFIRI | MCLA-158 + FOLFOX
NCT04494425,"Study of Trastuzumab Deruxtecan (T-DXd) vs Investigator's Choice Chemotherapy in HER2-low, Hormone Receptor Positive, Metastatic Breast Cancer",ACTIVE_NOT_RECRUITING,PHASE3,Advanced or Metastatic Breast Cancer,Breast Cancer | HR positive | HER2-Low | HER2-Negative | Trastuzumab Deruxtecan (T-DXd; DS-8201a) | Anti-HER2-Antibody Drug Conjugate (ADC) | DESTINY-Breast06,Trastuzumab deruxtecan | Capecitabine | Paclitaxel | Nab-Paclitaxel
NCT03330847,To Assess Safety and Efficacy of Agents Targeting DNA Damage Repair With Olaparib Versus Olaparib Monotherapy.,ACTIVE_NOT_RECRUITING,PHASE2,Metastatic Triple Negative Breast Cancer,Germline BRCA mutation | Human epidermal growth factor receptor 2 | Olaparib | Homologous Recombinant Repair (HRR)-related Genes,Olaparib Continuous (28-Day cycle) 300 mg BD. | Ceralasertib 160 mg OD + olaparib continuous 300 mg BD (28-day cycle). | Adavosertib 150 mg BD + olaparib 200 mg BD (21-day cycle).
NCT04423185,PLATFORM Study of Precision Medicine for Rare Tumors,RECRUITING,PHASE2,Rare Tumor,Rare tumor | NGS | actionable alterations | precision medicine | immunotherapy,Almonertinib 110 MG | Dacomitinib 45 MG | Alectinib 150 MG | Crizotinib 250 MG | Pyrotinib 160/80 MG | Imatinib 400 MG | Niraparib 200/300 MG | Palbociclib 125mg | Vemurafenib 240 MG | Sintilimab 100MG | Atezolizumab 1680 MG
NCT05020457,SI-B001 Combined With Chemotherapy in the Treatment of EGFR/ALK WT Recurrent or Metastatic NSCLC.,ACTIVE_NOT_RECRUITING,PHASE2,Non Small Cell Lung Cancer,NSCLC,SI-B001 | AP or TP | Docetaxel
NCT05760612,Adjuvant Trastuzumab Plus Neratinib in Hormone Receptor-Positive/Human Epidermal Growth Factor Receptor 2-Positive Breast Cancer After Neoadjuvant Trastuzumab Plus Pertuzumab,RECRUITING,PHASE3,Early-stage Breast Cancer | HER2-positive Breast Cancer | Adjuvant Treatment After Trastuzumab | RCB Classification 1-2 | Neratini,Hormone receptor positive HER2 positive breast cancer | targeted therapy | adjuvant therapy,Trastuzumab and neratinib | Trastuzumab and Pertuzumab
NCT05503667,Neoadjuvant Furmonertinib Plus Bevacizumab or Furmonertinib Monotherapy for Resectable and Potentially Resectable Stage III-IVA EGFR Mutation-Positive Lung Adenocarcinoma,RECRUITING,PHASE2,Lung Adenocarcinoma Stage III | Lung Adenocarcinoma Stage IV | EGFR Gene Mutation,neoadjuvant chemoimmunotherapy,Furmonertinib | Bevacizumab
NCT04743505,Safety and Efficacy of Combining APL-101 With Frontline Osimertinib in Patients With EGFR-mutated Metastatic Non-small Cell Lung Cancer (NSCLC),ACTIVE_NOT_RECRUITING,"PHASE1, PHASE2",Metastatic Non Small Cell Lung Cancer,,APL-101 | Osimertinib
NCT06788990,"FORTIFI-HN01: A Study of Ficerafusp Alfa (BCA101) or Placebo in Combination With Pembrolizumab in First-Line PD-L1-pos, R or M HNSCC",RECRUITING,"PHASE2, PHASE3",Metastatic Head and Neck Squamous Cell Carcinoma | Recurrent Head and Neck Squamous Cell Carcinoma,Phase 2/3 | Ficerafusp alfa | BCA101 | Recurrent Head and Neck Squamous Cell Carcinoma (R HNSCC) | Metastatic Head and Neck Squamous Cell Carcinoma (M HNSCC) | Pembrolizumab | EGFR | TGF-beta | HNSCC | PD-L1+ | Head and Neck cancer | Oral Cavity | Oropharynx | Larynx | Hypopharynx,Ficerafusp alfa | Pembrolizumab (KEYTRUDA®) | Placebo
NCT04868162,A Study to Evaluate the Efficacy and Safety of MRG003 in Patients With Recurrent or Metastatic Squamous Cell Carcinoma of Head and Neck,RECRUITING,PHASE2,Recurrent or Metastatic Squamous Cell Carcinoma of Head and Neck,MRG003 | Squamous Cell Carcinoma of Head and Neck | EGFR | HX008 | PD-1,MRG003 | MRG003+HX008
NCT07183189,"A Study of SHR-A2009 Combined With Aumolertinib Versus Aumolertinib for First-line Treatment in EGFR-mutated, Advanced or Metastatic NSCLC",RECRUITING,PHASE3,Non-small Cell Lung Cancer,,SHR-A2009 ; Aumolertinib | Aumolertinib
NCT07303218,The HER Project: HRD in EGFR-mutated NSCLC,ACTIVE_NOT_RECRUITING,NA,EGFR | Non Small Cell Lung Cancer | Homologous Recombination Deficiency | PARP Inhibitor,EGFR | Non small cell lung cancer | NSCLC | Homologous Recombination Deficiency | HRD | PARP Inhibitors | cell lines | organoids | Osimertinib | Olaparib | Genomic Scarring Score | TP53,No Intervention: Observational Cohort
NCT03911973,"Gedatolisib Plus Talazoparib in Advanced Triple Negative or BRCA1/2 Positive, HER2 Negative Breast Cancers",ACTIVE_NOT_RECRUITING,"PHASE1, PHASE2",TNBC - Triple-Negative Breast Cancer,,Gedatolisib | Talazoparib
NCT06590857,"Trial of 225Ac-DOTATATE (RYZ101) in Subjects With ER+, HER2-negative Unresectable or Metastatic Breast Cancer Expressing SSTRs.",ACTIVE_NOT_RECRUITING,"PHASE1, PHASE2",Metastatic Breast Cancer | HER2-negative Breast Cancer | ER+ Breast Cancer | Advanced Breast Cancer,"Actinium | Alpha-Emitter | SSTR+ MBC | ER+, HER2-, MBC | RYZ101 | 225Ac | Targeted Radiotherapy | Radiopharmaceutical | SSTR+ ABC | ER+, HER2-, ABC",RYZ101
NCT04906395,Ovarian Suppression Evaluating Subcutaneous Leuprolide Acetate in Breast Cancer,ACTIVE_NOT_RECRUITING,PHASE3,Breast Cancer,Ovarian Suppression | HR+ | HER2- | Oncology | Premenopausal,TOL2506 | Tamoxifen | Letrozole Tablets | Anastrozole Tablets | Exemestane Tablets
NCT04676477,HER3-DXd (Patritumab Deruxtecan; U3-1402) in Combination With Osimertinib in Subjects With Locally Advanced or Metastatic EGFR-mutated Non-Small Cell Lung Cancer,ACTIVE_NOT_RECRUITING,PHASE1,Non-Small Cell Lung Cancer (NSCLC),Advanced Non-small Cell Lung Cancer | Inoperable Non-small Cell Lung Cancer | HER3-DXd (Patritumab Deruxtecan; U3-1402) | Unresectable | Epidermal growth factor receptor | Metastatic | EGFR | Osimertinib | HER3,HER3-DXd | HER3-DXd | Osimertinib | Osimertinib | HER3-DXd | HER3-DXd | Osimertinib
NCT06305754,"Sacituzumab Tirumotecan (MK-2870) Versus Pemetrexed and Carboplatin Combination Therapy in Participants With Epidermal Growth Factor (EGFR)-Mutated, Advanced Nonsquamous Non-small Cell Lung Cancer (NSCLC) Who Have Progressed on Prior EGFR Tyrosine Kinase Inhibitors (MK-2870-009)",ACTIVE_NOT_RECRUITING,PHASE3,Non-small Cell Lung Cancer (NSCLC),,Sacituzumab tirumotecan | Pemetrexed | Carboplatin | H1 Receptor Antagonist | H2 Receptor Antagonist | Acetaminophen (or equivalent) | Dexamethasone (or equivalent) | Steroid Mouthwash (dexamethasone or equivalent)
NCT07005102,"A Study to Assess Adverse Events, Change in Disease Activity of Intravenous Telisotuzumab Adizutecan in Combination With Osimertinib as First-Line Treatment in Adult Participants With Locally Advanced Unresectable or Metastatic EGFR-Mutated Non-Squamous Non-Small Cell Lung Cancer",RECRUITING,"PHASE2, PHASE3",Non-Squamous Non-Small Cell Lung Cancer,Non-Squamous Non-Small Cell Lung Cancer | Telisotuzumab Adizutecan | Osimertinib | Cisplatin | Carboplatin | Pemetrexed | ABBV-400 | Stand of Care | Cancer | Chemotherapy | Platinum Chemotherapy,Standard of Care | Telisotuzumab Adizutecan | Osimertinib (Osi) | Cisplatin | Carboplatin | Pemetrexed
NCT06517953,Befotertinib and Icotinib for NSCLC With Uncommon EGFR Mutations,RECRUITING,PHASE2,Non-small Cell Lung Cancer Metastatic | EGFR G719X | EGFR L861Q | EGFR S768I,,Icotinib | Befotertinib
NCT04117945,"Regorafenib, With Cetuximab or Panitumumab, for the Treatment of Unresectable, Locally Advanced, or Metastatic Colorectal Cancer",ACTIVE_NOT_RECRUITING,PHASE2,BRAF V600E Negative | KRAS Gene Mutation Negative | Locally Advanced Unresectable Colorectal Adenocarcinoma | Metastatic Colorectal Adenocarcinoma | NRAS Gene Mutation Negative | Stage III Colorectal Cancer AJCC v8 | Stage IIIA Colorectal Cancer AJCC v8 | Stage IIIB Colorectal Cancer AJCC v8 | Stage IIIC Colorectal Cancer AJCC v8 | Stage IV Colorectal Cancer AJCC v8 | Stage IVA Colorectal Cancer AJCC v8 | Stage IVB Colorectal Cancer AJCC v8 | Stage IVC Colorectal Cancer AJCC v8,,Cetuximab | Irinotecan | Panitumumab | Regorafenib
NCT06207032,TEMPUS ARIES: A Biobank Registry Platform Study in Oncology,RECRUITING,NA,Cancer,ctDNA | Next-Generation Sequencing | Oncology,
NCT03767075,A Modular Multi-Basket Trial to Improve Personalized Medicine in Cancer Patients (Basket of Baskets),RECRUITING,PHASE2,Advanced Solid Tumor,Advanced Solid Tumor | Cancer | Atezolizumab | Immunotherapy,Atezolizumab | Futibatinib | Amivantamab
NCT05445791,Metformin Plus Tyrosine Kinase Inhibitors for Treatment of Patients With Non-small Cell Lung Cancer With EGFR Mutations,RECRUITING,PHASE3,Non Small Cell Lung Cancer,,Metformin Hydrochloride | Placebo
NCT05047250,"A Study of Atezolizumab in High PD-L1 Expression, Chemotherapy-Naïve Patients With Stage IV Non-Squamous or Squamous Non-Small Cell Lung Cancer",ACTIVE_NOT_RECRUITING,PHASE3,Non-Small Cell Lung Cancer,,Atezolizumab
NCT03332797,A Study of GDC-9545 Alone or in Combination With Palbociclib and/or Luteinizing Hormone-Releasing Hormone (LHRH) Agonist in Locally Advanced or Metastatic Estrogen Receptor-Positive Breast Cancer,ACTIVE_NOT_RECRUITING,PHASE1,Breast Cancer,,GDC-9545 | Palbociclib | LHRH Agonist
NCT07585760,CM336 Plus Isatuximab for Newly Diagnosed Multiple Myeloma With Severe Renal Impairment,RECRUITING,PHASE2,Multiple Myeloma (MM) | Multiple Myeloma Light Chain Induced Renal Insufficiency,BCMA/CD3 bispecific antibody | CM336 | Multiple Myeloma With Severe Renal Impairment,CM336 Plus Isatuximab
NCT05735496,Clinical Trial of the TQB2102 Injection in Patients With Advanced Cancers,ACTIVE_NOT_RECRUITING,PHASE1,Advanced Cancer,,TQB2102 injection
NCT07117890,Sunvozertinib Treatment in Untreated Advanced NSCLC With EGFR Uncommon Mutations,RECRUITING,PHASE2,Non Small Cell Lung Cancer,Non Small Cell Lung Cancer | Sunvozertinib | EGFR | EGFR uncommon mutation,sunvozertinib 300mg | sunvozertinib 200mg
NCT06239220,"PD-L1 t-haNK, NAI IL-15sa and Cetuximab for Recurrent, Metastatic HNSCC",RECRUITING,PHASE2,Head and Neck Cancer | Head and Neck Squamous Cell Carcinoma | Metastatic Head and Neck Cancer | Recurrent Head and Neck Cancer | Metastatic Head-and-neck Squamous-cell Carcinoma | Recurrent Head and Neck Squamous Cell Carcinoma,Head and Neck Cancer | Head and Neck Squamous Cell Carcinoma | Metastatic Head and Neck Cancer | Recurrent Head and Neck Cancer | Metastatic Head-and-neck Squamous-cell Carcinoma | Recurrent Head and Neck Squamous Cell Carcinoma,PD-L1 t-haNK | Cetuximab | NAI
NCT06997068,"Methotrexate, Erlotinib, and Celecoxib for the Treatment of Recurrent/Metastatic Head and Neck Cancer in a Rural Midwest United States Population",RECRUITING,PHASE2,Metastatic Oral Cavity Carcinoma | Recurrent Oral Cavity Carcinoma | Stage IVC Lip and Oral Cavity Cancer AJCC v8 | Head and Neck Cancer | Hypopharynx Cancer | Oropharynx Cancer | Clinical Stage IV HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8 | Metastatic Hypopharyngeal Carcinoma | Metastatic Laryngeal Carcinoma | Metastatic Malignant Head and Neck Neoplasm | Metastatic Oropharyngeal Carcinoma | Recurrent Hypopharyngeal Carcinoma | Recurrent Laryngeal Carcinoma | Recurrent Malignant Head and Neck Neoplasm | Recurrent Oropharyngeal Carcinoma | Stage IVC Hypopharyngeal Carcinoma AJCC v8 | Stage IVC Laryngeal Cancer AJCC v8 | Stage IVC Oropharyngeal (p16-Negative) Carcinoma AJCC v8,,Celecoxib | Erlotinib Hydrochloride | Imaging Procedure | Interview | Methotrexate | Questionnaire Administration
NCT06097962,Safety and Efficacy of NK510 to Treat NSCLC,RECRUITING,EARLY_PHASE1,NSCLC,Malignant Pleural Effusion,NK510 | Tislelizumab，atezolizumab or sugemalimab | NK510 | systemic therapy as selected by the investigator
NCT06348134,Assessing the Efficacy and Safety of Anti-HER2 Therapy in Nigerian Women With HER2+ Breast Cancer Before and After Surgery,RECRUITING,PHASE2,Human Epidermal Growth Factor 2 Negative Carcinoma of Breast | HER2-positive Breast Cancer | Breast Cancer,,Trastuzumab emtansine | Pertuzumab Injection | Docetaxel | Tamoxifen | Letrozole | Goserelin
NCT01957332,IMaging PAtients for Cancer Drug selecTion - Metastatic Breast Cancer,ACTIVE_NOT_RECRUITING,NA,Metastatic Breast Cancer,molecular imaging | HER2-PET | 89Zr-trastuzumab | FES-PET | metastatic breast cancer | clinical utility,Molecular imaging | Molecular imaging
NCT07584499,Phase I Study of Becotatug Vedotin for Safety and Efficacy in EGFR-Positive Pediatric Relapsed/Refractory or Metastatic Solid Tumors,RECRUITING,PHASE1,Head and Neck Squamous Cell Carcinoma (HNSCC) - Recurrent/Metastatic (R/M) | Nasopharyngeal Carcinoma | Lymphoepithelial Carcinoma | Rhabdomyosarcoma | Neuroblastoma | Medulloblastoma | Wilms Tumor | Atypical Teratoid/Rhabdoid Tumors | Diffuse Intrinsic Pontine Gliomas | Other EGFR-positive Pediatric Solid Tumors Deemed Eligible by the Investigator,,Becotatug Vedotin
NCT05991193,A Study With Central Nervous System Metastatic EGFR Mutation Positive Non-small Cell Lung Cancer,RECRUITING,NA,NSCLC,,
NCT07398599,Double-Dose Third-Generation EGFR-TKI Plus Bevacizumab and Intrathecal Chemotherapy for Refractory Leptomeningeal Metastatic NSCLC: A Phase II Study,RECRUITING,NA,"Leptomeningeal Metastasis | Lung Neoplasms, Non-Small Cell Lung Cancer",Leptomeningeal Metastasis | non-small cell lung cancer,"a combined regimen consisting of double-dose third-generation EGFR-TKI, bevacizumab, and intrathecal chemotherapy in patients"
NCT04784715,"Trastuzumab Deruxtecan (T-DXd) With or Without Pertuzumab Versus Taxane, Trastuzumab and Pertuzumab in HER2-positive Metastatic Breast Cancer (DESTINY-Breast09)",ACTIVE_NOT_RECRUITING,PHASE3,Breast Cancer; HER2-positive; Metastatic,"Breast Neoplasms; Breast Diseases; Trastuzumab; Antineoplastic Agents, Phytogenic; Anti-drug conjugate; Molecular Mechanisms of Pharmacological Action;",Trastuzumab deruxtecan | Placebo | Taxane | Pertuzumab | Trastuzumab
NCT07554521,A Study to Evaluate Efficacy and Safety of Tislelizumab Plus Chemotherapy for Locally Advanced Unresectable or Metastatic Gastric or Gastroesophageal Adenocarcinoma and Esophageal Squamous Cell Carcinoma in Racial and Ethnic Minority Patients in the United States,RECRUITING,PHASE2,Advanced Unresectable Gastric Adenocarcinoma | Esophageal Squamous Cell Carcinoma | Advanced Gastroesophageal Adenocarcinoma,,Tislelizumab | Capecitabine | 5-fluorouracil (5-FU) | Oxaliplatin | Leucovorin
NCT03297606,Canadian Profiling and Targeted Agent Utilization Trial (CAPTUR),RECRUITING,PHASE2,"Lymphoma, Non-Hodgkin | Multiple Myeloma | Advanced Solid Tumors",,Olaparib | Dasatinib | Nivolumab plus Ipilimumab | Axitinib | Bosutinib | Crizotinib | Palbociclib | Sunitinib | Temsirolimus | Erlotinib | Trastuzumab plus Pertuzumab | Vemurafenib plus Cobimetinib | Vismodegib | Tucatinib
NCT06827236,"A Clinical Study to Find the Optimal Dose of an Investigational Treatment Called BNT323 When Used in Combination With Another Investigational Treatment, BNT327, and to Test if That Combination Treatment is Safe and Beneficial for Patients With Advanced Breast Cancer",RECRUITING,"PHASE1, PHASE2",Locally Advanced Breast Cancer | Unresectable Breast Carcinoma | Metastatic Breast Cancer,"Breast Cancer (BC) | Human epidermal growth factor receptor 2 (HER2) | IHC scores 0, 1+, 2+, and 3+ | Antibody drug conjugate (ADC) | Programmed Death-1 (PD-1) | Programmed Death Ligand-1 (PD-L1) | Programmed Death-1 monoclonal antibodies | Anti vascular endothelial growth factor-A (anti-VEGF-A)",BNT323 | BNT327
NCT04606771,A Study Comparing Savolitinib Plus Osimertinib vs Savolitinib Plus Placebo in Patients With EGFRm+ and MET Amplified Advanced NSCLC,ACTIVE_NOT_RECRUITING,PHASE2,Non-Small Cell Lung Cancer,Locally | Advanced | Metastatic | Carcinoma | Non-Small Cell Lung Cancer | Osimertinib | Tagrisso | Savolitinib | MET | EGFR,Osimertinib + Savolitinib | Savolitinib + Placebo
NCT06710132,Study of Anti-CEACAM5 ADC M9140 in Participants With Advanced Solid Tumors (PROCEADE PanTumor),RECRUITING,"PHASE1, PHASE2",Solid Tumors | Gastric Cancer | Non-Small Cell Lung Cancer (NSCLC) | Pancreatic Cancer | Pancreatic Ductal Adenocarcinoma (PDAC),ADC | TOP1 inhibitor | Gastric Cancer | Gastroesophageal junction cancer | Non-Small Cell Lung Cancer | Pancreatic Cancer | Solid Tumors,M9140
NCT05994131,IN10018 Combination Therapy in Advanced EGFR Mutation-positive NSCLC,RECRUITING,"PHASE1, PHASE2",NSCLC,EGFR mutation-positve,IN10018 | Furmonertinib
NCT05113251,"Trastuzumab Deruxtecan (T-DXd) Alone or in Sequence With THP, Versus Standard Treatment (ddAC-THP), in HER2-positive Early Breast Cancer",ACTIVE_NOT_RECRUITING,PHASE3,Breast Neoplasms | Breast Cancer | HER2-positive Early Breast Cancer,"Trastuzumab Trastuzumab Deruxtecan (T-DXd; DS-8201a) | DESTINY-BREAST11 | Receptor, ErbB-2 | breast neoplasms | Antineoplastic Agents, Phytogenic | Antineoplastic Agents;Molecular Mechanisms of Pharmacological Action | DB11 | Enhertu | HER2 (human epidermal growth factor receptor 2) | breast cancer",Trastuzumab Deruxtecan | Paclitaxel | Trastuzumab | Pertuzumab | Doxorubicin | cyclophosphamide
NCT06106802,Lazertinib & Tepotinib for EGFR Mutant NSCLC in MET Overexpressed or Amplified Who Progressed After Lazertinib Treatment,RECRUITING,PHASE2,Non-Small Cell Lung Cancer Metastatic,,Lazertinib | Tepotinib
NCT06682793,"A Study to Evaluate the Safety and Efficacy of A2B395, an Allogeneic Logic-gated CAR T, in Participants With Solid Tumors That Express EGFR and Have Lost HLA-A*02 Expression",RECRUITING,"PHASE1, PHASE2","Solid Tumor, Adult | Colorectal Cancer | Non-Small Cell Lung | NSCLC (Non-small Cell Lung Cancer) | Cancer | Colon Cancer | Rectal Cancer | Lung Cancer | CRC | Head and Neck Squamous Cell Cancer | HNSCC | Renal Cell Carcinoma | RCC | Kidney Cancer | Triple Negative Breast Cancer | TNBC | Colorectal Adenocarcinoma",CAR T Cell | Solid Tumors | Allogeneic | T Cell | EGFR | HLA-A2 | Solid tumors expressing EGFR | CRC | Colorectal | Cell Therapy | Gene Therapy | Blocker | Cancer | NSCLC | Non small Cell Lung Cancer | Lung Cancer | renal cell carcinoma | RCC | Kidney Cancer | Renal cell cancer | Triple negative breast cancer | TNBC,A2B395 | xT CDx with HLA-LOH assay
NCT06431243,A Clinical Study of Purinostat Mesylate for Injection in Patients With Advanced Solid Tumors,RECRUITING,"PHASE1, PHASE2",Advanced Solid Tumor,,A0/B0 group Purinostat Mesylate 11.2mg/m2 | A0/B0 group Purinostat Mesylate 15mg/m2 | A group Purinostat Mesylate 6mg/m2 | A group Purinostat Mesylate 8.4mg/m2 | A group Purinostat Mesylate 11.2mg/m2 | A group Purinostat Mesylate 15 mg/m2 | B group Purinostat Mesylate 6 mg/m2 | B group Purinostat Mesylate 8.4 mg/m2 | B group Purinostat Mesylate 11.2mg/m2 | B group Purinostat Mesylate 15mg/m2
NCT06745908,Clinical Trial of N-803 Plus Tislelizumab or Prior Failed Immune Checkpoint Inhibitor and Docetaxel Versus Docetaxel Monotherapy in Participants With Advanced or Metastatic Non-Small Cell Lung Cancer Who Have Acquired Resistance to Immune Checkpoint In,RECRUITING,PHASE3,NSCLC Stage IV,,N-803 | Tislelizumab | Docetaxel | Prior failed checkpoint inhibitor
NCT06080776,SH-1028 Tablets Versus Placebo as Adjuvant Therapy in Resected Stage II-IIIB NSCLC With Sensitizing EGFR Mutations,RECRUITING,PHASE3,Non-small Cell Lung Cancer,,SH-1028 tablets | Placebo SH-1028 tablets
NCT06518655,Differentiation of Benign and Malignant Pulmonary Nodules by Volatile Organic Compounds in Human Exhaled Breath,RECRUITING,NA,"Pulmonary Nodules, Multiple | Pulmonary Nodules, Solitary | Lung Cancer",Pulmonary Nodules | Lung Cancer | Volatile Organic Compounds | Human Exhaled Breath,Gas chromatography-mass spectrometry(GC-MS) and micro Gas Chromatography-photoionisation detector (μGC-PID) system
NCT03170960,Study of Cabozantinib Alone or in Combination With Atezolizumab to Subjects With Locally Advanced or Metastatic Solid Tumors,ACTIVE_NOT_RECRUITING,PHASE1,Urothelial Carcinoma | Renal Cell Carcinoma | Non-Small Cell Lung Cancer | Castration-resistant Prostate Cancer | Triple Negative Breast Cancer | Ovarian Cancer | Endometrial Cancer | Hepatocellular Carcinoma | Gastric Cancer | Gastroesophageal Junction Adenocarcinoma | Colorectal Cancer | Head and Neck Cancer | Differentiated Thyroid Cancer | Lower Esophageal Cancer,Kidney | Bladder | Renal pelvis | Ureter | Urethra | Cancer | Prostate | Castration-resistant | Lung | Breast | Ovarian | Endometrial | Liver | Stomach,cabozantinib | atezolizumab | cabozantinib | cabozantinib
NCT03908788,Detection of the Emergence of RAS (Rat Sarcoma Viral Oncogene Homolog) Mutations in Circulating DNA (Deoxyribonucleic Acid) in Patients With mCRC (Metastatic Colorectal Cancer) During Treatment With Anti-EGFR (Epidermal Growth Factor Receptor) Therapy,ACTIVE_NOT_RECRUITING,NA,Metastatic Colorectal Cancer,Metastatic Colorectal Cancer | Detection of the emergence of RAS mutations | Circulating DNA in patients | Treatment with anti-EGFR therapy,Intplex test
NCT06702618,Evaluation of TQB3616 Capsules in a Phase II Clinical Trial for Recurrent/Metastatic Breast Cancer,ACTIVE_NOT_RECRUITING,PHASE2,Breast Cancer,,TQB3616 capsule+Fulvestrant Injection
NCT07536113,Assessing the Efficacy and Safety of ctDNA-driven Selection for Anti-EGFR Retreatment in a Real World Metastatic Colorectal Cancer Patients Cohort (the REalCHALLENGE Study),RECRUITING,NA,Metastatic Colorectal Cancer (CRC),liquid biopsy | mCRC | rechallenge therapies | Anti-EGFR,
NCT04687241,Almonertinib Versus Placebo as Adjuvant Therapy in Resected Stage II-IIIB Non-Small Cell Lung Cancer With EGFR-sensitive Mutations,ACTIVE_NOT_RECRUITING,PHASE3,Non-small Cell Lung Cancer,,Almonertinib | Placebo Almonertinib
NCT05332002,"sFOLFOXIRI in Advanced Gastroesophageal Cancer, (SAGE)",RECRUITING,PHASE2,Gastro-Intestinal Cancer,Gastric and esophageal cancers (GEC),Four week alternating FOLFOX and FOLFIRI (sFOLFOXIRI)
NCT05863195,Testing Pump Chemotherapy in Addition to Standard of Care Chemotherapy Versus Standard of Care Chemotherapy Alone for Patients With Unresectable Colorectal Liver Metastases: The PUMP Trial,RECRUITING,PHASE3,Metastatic Colorectal Carcinoma | Metastatic Malignant Neoplasm in the Liver | Stage IV Colorectal Cancer AJCC v8 | Unresectable Colorectal Carcinoma,,Bevacizumab | Cetuximab | Computed Tomography | Floxuridine | Fluorouracil | Implantation | Intrahepatic Infusion Procedure | Irinotecan | Leucovorin | Oxaliplatin | Panitumumab | Single Photon Emission Computed Tomography
NCT07389265,Continuation of Cetuximab Beyond First-Line Progression in Metastatic Colorectal Cancer,RECRUITING,PHASE3,Metastatic Colorectal Cancer (mCRC),,"Erbitux (Cetuximab) | Bevacizumab | FOLFOX (Folinic acid + Fluorouracil + Oxaliplatin) | FOLFIRI (5-Fluorouracil, Folinic acid, Irinotecan)"
NCT07310420,"A Trial to Evaluate Ovarian Suppression Following Subcutaneous ZOLADEX 10.8 mg in Premenopausal Women With HR+, HER2- Advanced Breast Cancer",RECRUITING,PHASE1,Advanced Breast Cancer,Ovarian Suppression | ZOLADEX | HR+ | HER2- | Breast Cancer | Goserelin Implant,ZOLADEX
