nct_id,title,status,phase,conditions,keywords,interventions
NCT03418961,S1501 Dual Observational and Randomized Cohort Study of Patients With Metastatic HER-2+ Breast Cancer at Risk of Cardiac Toxicity,RECRUITING,PHASE3,Cardiotoxicity | HER2/Neu Positive | Metastatic Malignant Neoplasm in the Brain | Recurrent Breast Carcinoma | Stage IV Breast Cancer AJCC v6 and v7,,Carvedilol | Laboratory Biomarker Analysis | Patient Observation
NCT06350097,"Phase III, Open-label Study of First-line Osimertinib With or Without Datopotamab Deruxtecan for EGFRm Locally Advanced or Metastatic Non-small Cell Lung Cancer",RECRUITING,PHASE3,Non-small Cell Lung Cancer,"Non-small Cell Lung Cancer, NSCLC, Epidermal Growth Factor Receptor (EGFR) Mutation-positive, Osimertinib, Dato-DXd, Datopotamab Deruxtecan, Tagrisso",Osimertinib | Datopotamab Deruxtecan
NCT04322890,Treatment Strategies and Survival Outcome for Non-small Cell Lung Cancer With Oncogenic Mutation,RECRUITING,PHASE2,Non Small Cell Lung Cancer | EGFR Gene Mutation | ALK Gene Mutation | ROS1 Gene Mutation | MET Gene Mutation,,"Osimertinib | Alectinib 150 MG | Crizotinib 250 MG | Savolitinib, Crizotinib. | Chemotherapy"
NCT06369259,"Open-label Phase 2 Study of Avutometinib (RAF/MEK Clamp) in Combination With Defactinib (FAK Inhibitor) and Cetuximab in Patients With Unresectable, Anti-EGFR-Refractory Advanced Colorectal Cancer",RECRUITING,PHASE2,Advanced Colorectal Cancer,,Defactinib | Cetuximab | Avutometinib
NCT06604689,AI-guided Prognostication and Cranial Radiotherapy Optimization in EGFR-TKI-treated Non-small Cell Lung Cancer Patients With Baseline Brain Metastases,RECRUITING,NA,NSCLC (Advanced Non-small Cell Lung Cancer) | Brain Metastasases,,third-generation EGFR TKIs (Almonertinib/Furmonertinib/Osimertinib)
NCT06864624,Perioperative Treatment of Sunvozertinib in Stage II-IIIB NSCLC,RECRUITING,PHASE2,NSCLC,sunvozertinib | neoadjuvant | adjuvant | EGFR exon20 insertion,Sunvozertinib
NCT03997370,Evaluation of Dosing Procedures of Chemotherapy Treatment (Carboplatin) With the Contrast Agent Iohexol,ACTIVE_NOT_RECRUITING,PHASE1,Malignant Solid Neoplasm,,Biospecimen Collection | Carboplatin | Iohexol
NCT07548060,A Phase II Study of Sacituzumab Tirumotecan in Combination With Furmonertinib in Patients With Non-squamous Non-Small Cell Lung Cancer Who Have Progressed After EGFR-TKI and Platinum-Based Chemotherapy,RECRUITING,PHASE2,NSCLC Stage IV | EGFR Gene Mutation,NSCLC | TROP-2 ADC | EGFR-TKI,sacituzumab tirumotecan
NCT05041127,Cetuximab for the Treatment of Advanced Unresectable or Metastatic Chordoma,ACTIVE_NOT_RECRUITING,PHASE2,Chordoma | Metastatic Chordoma | Unresectable Chordoma,,Cetuximab | Questionnaire Administration
NCT05894889,Pembrolizumab and Chemotherapy Neoadjuvant/Adjuvant of NSCLC,ACTIVE_NOT_RECRUITING,PHASE2,Stage IIIB(N2) Non-small Cell Lung Cancer | Stage IIA Non-small Cell Lung Cancer | Stage IIB Non-small Cell Lung Cancer | Stage IIIA Non-small Cell Lung Cancer,"Early stage NSCLC, neoadjuvant, adjuvant, pembrolizumab",Pembrolizumab 200 mg IV infusion
NCT07396324,"Neoadjuvant QL1706 in Patients With Hormone Receptor Positive, HER2-negative Breast Cancer",RECRUITING,PHASE2,HR-positive/HER2-negative Breast Cancer,,Iparomlimab and Tuvonralimab | Paclitaxel | Carboplatin
NCT06940778,LIQUID BIOPSY FOCUSING ON CIRCULATING TUMOR CELLS AND CIRCULATING TUMOR DNA AS PRECISION MEDICINE IN GASTROINTESTINAL TUMORS,ACTIVE_NOT_RECRUITING,NA,Cancer of Rectum | Cancer of Pancreas | Cancer of Stomach,locally advanced rectal cancer | locally advanced and metastatic pancreas cancer | locally advanced and metastatic gastric cancer | circulating tumor cells | circulating tumor DNA | liquid biopsy,No Interventions
NCT07049055,A Clinical Trial to Evaluate EDV Nanocell Therapy With Gemcitabine and Nab-paclitaxel in Pancreatic Cancer,RECRUITING,"PHASE1, PHASE2","Pancreatic Cancer, Metastatic | PDAC - Pancreatic Ductal Adenocarcinoma",PDAC | Molecular Targeted Therapy | Drug Delivery Systems | Pancreatic Cancer | Epidermal Growth Factor Receptor | Bispecific Antibodies | Antineoplastic Agents | Immunotherapy | Disease Progression,E-EDV-D682 | EDV-GC | Gemcitabine | Nab paclitaxel.
NCT06718309,Chemotherapy Plus Immunotherapy Combined With SBRT as Neoadjuvant Therapy for Patients With Resectable NSCLC,RECRUITING,PHASE2,Non-Small Cell Lung Cancer,NSCLC | locally advanced | resectable | SBRT | immunotherapy,Chemotherapy | Immunotherapy | Radical resection of lung cancer | SBRT
NCT05166616,Minnelide and Osimertinib for the Treatment of Advanced EGFR Mutated Non-Small Cell Lung Cancer,ACTIVE_NOT_RECRUITING,PHASE1,Advanced Lung Non-Small Cell Carcinoma | Locally Advanced Lung Non-Small Cell Carcinoma | Stage III Lung Cancer AJCC v8 | Stage IIIA Lung Cancer AJCC v8 | Stage IIIB Lung Cancer AJCC v8 | Stage IIIC Lung Cancer AJCC v8 | Stage IV Lung Cancer AJCC v8 | Stage IVA Lung Cancer AJCC v8 | Stage IVB Lung Cancer AJCC v8 | Unresectable Lung Non-Small Cell Carcinoma,,Biopsy | Osimertinib | Triptolide Analog
NCT06883487,Exploratory Study on HER2 Detection Method and Positive Threshold for High-grade Serous Adenocarcinoma of the Ovary,RECRUITING,NA,Exploring HER2 Positive Diagnostic Criteria in High-grade Serous Ovarian Cancer | Observing the Effectiveness of Targeted HER2 ADC Drugs,,No intervention
NCT04665687,Clinical Application of Genetic Sequencing of Early Gastric Cancer and Gastric Adenoma Patients,RECRUITING,NA,Early Gastric Cancer | Gastric Adenoma,,
NCT03909282,Surgical Excision vs Neoadjuvant Radiotherapy+Delayed Surgical Excision of Ductal Carcinoma,RECRUITING,NA,Ductal Breast Carcinoma in Situ,Ductal Breast Carcinoma,Lumpectomy | Partial breast irradiation prior to surgery
