condizione,drug_anchor_check,pmid_coverage_rate,pmid_hallucination_rate,escat_tier_match,judge_score_totale,judge_completezza,judge_utilita_clinica,judge_fedelta_evidenze,judge_accuratezza_clinica,pmid_exists_pubmed,pmid_relevant_pubmed
vanilla,0.967,0.0,1.0,0.033,0.0,0.0,0.0,0.0,0.0,N/A,N/A
websearch,0.633,0.0,0.967,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rag_testuale,0.833,0.267,0.075,0.033,0.0,0.0,0.0,0.0,0.0,N/A,N/A
enricher_only,0.9,0.667,0.596,0.033,0.0,0.0,0.0,0.0,0.0,N/A,N/A
full_graphrag,1.0,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A
