scope,"identifier_type","claim_count","identifier_occurrences","unique_identifiers","sample_identifiers","notes"
claim_direct,PMID,17,17,9,PMID:24122810;PMID:24457318;PMID:24550739;PMID:24736073;PMID:25393796;PMID:26698910;PMID:31591063;PMID:37879444;PMID:38942080,"direct claim fields are distinct from parent context"
claim_direct,DOI,0,0,0,,"direct claim fields are distinct from parent context"
claim_direct,NCT,0,0,0,,"direct claim fields are distinct from parent context"
claim_direct,URL,0,0,0,,"direct claim fields are distinct from parent context"
"parent_context",PMID,147,161,98,PUBMED:15118125;PUBMED:15329413;PUBMED:160559;PUBMED:16818618;PUBMED:17177598;PUBMED:17877814;PUBMED:18089823;PUBMED:18408761;PUBMED:18509184;PUBMED:18757403;PUBMED:18923525;PUBMED:20038723,"direct claim fields are distinct from parent context"
"parent_context",DOI,1,1,1,DOI:10.1182/blood-2022-163099,"direct claim fields are distinct from parent context"
